model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_135711_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.6,0.6
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_135711_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_135711_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.099,0.099
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_135711_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.2,,0.525,0.525
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_135711_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.2182,0.295,0.295
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_135711_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.085,0.085
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_135711_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.07,0.07
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.145,0.145
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.425,0.425
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.015,0.015
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.165,0.165
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.7,,0.465,0.465
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.6547,0.51,0.51
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.05,0.05
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.134,0.134
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.4,,0.51,0.51
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.1667,0.465,0.465
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.094,0.094
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.134,0.134
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.55,0.55
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.5833,0.478,0.478
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.1,0.1
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.4,0.4
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.6,,0.52,0.52
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.0891,0.42,0.42
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.1,0.1
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.135,0.135
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4,,0.5,0.5
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.8165,0.51,0.51
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.495,0.495
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.385,0.385
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.095,0.095
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.5,,0.495,0.495
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.485,0.485
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,0.6,,0.3,0.3
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,0.4082,0.363,0.363
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,1.0,1.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.073,0.073
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.143,0.143
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.4,,0.52,0.52
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.25,0.44,0.44
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.107,0.107
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.015,0.015
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.6,,0.585,0.585
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,0.0,0.62,0.62
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.092,0.092
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.095,0.095
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.12,0.12
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.115,0.115
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.43,0.43
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.2,0.55,0.55
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.132,0.132
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.09,0.09
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.6,,0.535,0.535
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_141746_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.8165,0.51,0.51
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.33,0.33
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.15,0.15
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.8,,0.43,0.43
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_141746_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.375,0.539,0.539
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.05,0.05
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.075,0.075
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.8,,0.4,0.4
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_141746_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.55,0.55
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.45,0.45
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.25,0.335,0.335
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.12,0.12
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.008,0.008
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.5,,0.47,0.47
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_6,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.6547,0.55,0.55
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_7,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.094,0.094
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.51,0.51
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_141746_8,undisclosed,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.0891,0.46,0.46
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_141746_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.1,0.1
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_141746_9,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.134,0.134
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_1,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.12,0.12
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.3,,0.681,0.681
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_10,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,1.0,0.3,0.3
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.019,0.019
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_11,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.13,0.13
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.3,,0.643,0.643
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_12,undisclosed,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.8018,0.405,0.405
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.123,0.123
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_13,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.114,0.114
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.5,,0.545,0.545
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_14,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.4082,0.485,0.485
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.072,0.072
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_15,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.104,0.104
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.4,,0.515,0.515
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_16,undisclosed,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,-0.25,0.5,0.5
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.115,0.115
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_17,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.23,0.23
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.5,,0.5,0.5
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_18,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,0.2182,0.46,0.46
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.105,0.105
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_19,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.145,0.145
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.7,,0.505,0.505
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_2,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,-0.0476,0.58,0.58
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,sender,1.0,,0.48,0.48
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_20,undisclosed,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,,0.47,0.47
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.019,0.019
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_21,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.081,0.081
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.6,,0.427,0.427
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_22,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,1.0,0.549,0.549
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.097,0.097
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_23,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,1.0,,0.5,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_24,undisclosed,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,,1.0,1.0
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,sender,1.0,,0.13,0.13
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_25,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,aligned,receiver,,,0.128,0.128
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,sender,0.8,,0.455,0.455
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_26,undisclosed,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,misaligned,receiver,,0.7638,0.5,0.5
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.045,0.045
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_27,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.006,0.006
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.4,,0.61,0.61
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_28,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.8018,0.425,0.425
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.09,0.09
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_29,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.03,0.03
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,sender,1.0,,0.145,0.145
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_3,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,aligned,receiver,,,0.082,0.082
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,sender,0.7,,0.505,0.505
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_30,undisclosed,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,misaligned,receiver,,-0.5238,0.64,0.64
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,sender,1.0,,0.149,0.149
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_31,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,aligned,receiver,,,0.12,0.12
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,sender,0.7,,0.425,0.425
Claude Sonnet,ct_cheap_talk_results_undisclosed_20260517_144316_32,undisclosed,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,misaligned,receiver,,0.3563,0.605,0.605
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,sender,1.0,,0.13,0.13
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_33,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,aligned,receiver,,,0.15,0.15
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,sender,0.7,,0.69,0.69
GPT-4o-mini,ct_cheap_talk_results_undisclosed_20260517_144316_34,undisclosed,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,misaligned,receiver,,-0.5238,0.595,0.595
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,sender,1.0,,0.015,0.015
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_35,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,aligned,receiver,,,0.073,0.073
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,sender,0.8,,0.405,0.405
Gemini 2.5 Flash Lite,ct_cheap_talk_results_undisclosed_20260517_144316_36,undisclosed,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,misaligned,receiver,,0.375,0.485,0.485
GPT-4o,ct_cheap_talk_results_undisclosed_20260517_144316_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,sender,0.5,,0.475,0.475
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_4,undisclosed,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,misaligned,receiver,,0.4082,0.46,0.46
Claude Opus,ct_cheap_talk_results_undisclosed_20260517_144316_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,sender,1.0,,0.128,0.128
Gemini 2.5 Flash,ct_cheap_talk_results_undisclosed_20260517_144316_5,undisclosed,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,aligned,receiver,,,0.0,0.0
