model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_23,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_23,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_24,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_24,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_25,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.078
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_25,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.0,0.0853
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_26,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.6,1.0,0.5333,0.4667,,0.4767
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_26,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.6,,,,0.0,0.5667
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_27,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.05
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_27,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.6309,0.0567
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_28,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.4967
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_28,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,-0.6309,0.4493
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_29,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.3667,0.6333,,0.0333
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_29,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.1965,0.0773
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_3,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.6667,0.3333,,0.1567
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_3,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.2887,0.066
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_30,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.2,1.0,0.3667,0.6333,,0.3833
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_30,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.2,,,,-0.1965,0.3667
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_31,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6666,0.3334,,0.0833
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_31,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.2126,0.0907
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_32,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.7333,1.0,0.6666,0.3334,,0.3833
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_32,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.7333,,,,0.2126,0.53
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_33,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.5666,0.4334,,0.07
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_33,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.0096,0.1233
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_34,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.8,1.0,0.5666,0.4334,,0.36
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_34,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.8,,,,-0.0096,0.4867
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_35,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.7667,0.2333,,0.0073
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_35,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.8334,0.09
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_36,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.9333,1.0,0.7667,0.2333,,0.46
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_36,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.9333,,,,0.8334,0.42
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_4,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.6667,1.0,0.6667,0.3333,,0.4467
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_4,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.6667,,,,0.2887,0.6
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_5,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.4,0.6,,0.0487
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_5,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.6309,0.01
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_6,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,1.0,0.4,0.6,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_6,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,-0.6309,0.4
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_7,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.6667,0.3333,,0.014
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_7,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.866,0.0693
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_8,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,0.6667,1.0,0.6667,0.3333,,0.4233
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_8,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,0.6667,,,,0.866,0.5193
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_9,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.3667,0.6333,,0.1
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_181925_9,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.1965,0.0
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_1,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.072
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_1,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.3172,0.1267
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_10,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,1.0,0.6666,0.3334,,0.5467
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_10,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,0.1066,0.6
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_11,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.3333,0.6667,,0.0133
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_11,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.0945,0.11
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_12,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,0.3333,1.0,0.3333,0.6667,,0.5567
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_12,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,0.3333,,,,-0.0945,0.45
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_13,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.1033
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_13,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.0055,0.11
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_14,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.5333,1.0,0.6,0.4,,0.4633
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_14,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.5333,,,,0.0055,0.5367
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_15,human_vs_human_declared,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.7333,0.2667,,0.0653
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_15,human_vs_human_declared,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.0754,0.0573
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_16,human_vs_human_declared,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,0.7333,1.0,0.7333,0.2667,,0.4353
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_16,human_vs_human_declared,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,0.7333,,,,0.0754,0.6367
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_17,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.1
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_17,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.033,0.17
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_18,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.3333,1.0,0.5333,0.4667,,0.5433
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_18,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.3333,,,,-0.033,0.45
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_19,human_vs_human_declared,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.1
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_19,human_vs_human_declared,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.13
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_2,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.6667,1.0,0.6,0.4,,0.5867
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_2,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.6667,,,,0.3172,0.5
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_20,human_vs_human_declared,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.3667
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_20,human_vs_human_declared,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,0.1867
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_21,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_21,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.2846,0.0967
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_22,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.4667,1.0,0.6,0.4,,0.5867
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_22,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.4667,,,,0.2846,0.5067
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_23,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.0
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_23,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,0.0067
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_24,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,1.0,0.0,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_24,human_vs_human_declared,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,1.0
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_25,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.1153
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_25,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,0.3172,0.106
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_26,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.5333,1.0,0.6,0.4,,0.4153
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_26,human_vs_human_declared,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.5333,,,,0.3172,0.5
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_27,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.4334,0.5666,,0.0433
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_27,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.7041,0.0093
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_28,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,1.0,0.4334,0.5666,,0.3533
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_28,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,-0.7041,0.4967
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_29,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.6666,0.3334,,0.0333
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_29,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.1066,0.0667
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_3,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.0733
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_3,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.1111,0.092
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_30,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7333,1.0,0.6666,0.3334,,0.3233
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_30,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7333,,,,0.1066,0.4833
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_31,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.062
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_31,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,0.0055,0.0627
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_32,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.6667,1.0,0.6,0.4,,0.39
Claude Sonnet,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_32,human_vs_human_declared,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.6667,,,,0.0055,0.3567
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_33,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.1367
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_33,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,-0.033,0.1567
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_34,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.7333,1.0,0.5333,0.4667,,0.3867
GPT-4o-mini,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_34,human_vs_human_declared,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.7333,,,,-0.033,0.49
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_35,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,1.0,0.6,0.4,,0.1073
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_35,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,0.2846,0.1233
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_36,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7333,1.0,0.6,0.4,,0.62
Gemini 2.5 Flash Lite,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_36,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7333,,,,0.2846,0.76
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_4,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.6,1.0,0.6,0.4,,0.5533
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_4,human_vs_human_declared,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.6,,,,0.1111,0.5067
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_5,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.4334,0.5666,,0.048
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_5,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,-0.7041,0.0
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_6,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4667,1.0,0.4334,0.5666,,0.5
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_6,human_vs_human_declared,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4667,,,,-0.7041,0.4333
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_7,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.4667,0.5333,,0.0133
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_7,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,0.0546,0.086
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_8,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,0.4667,1.0,0.4667,0.5333,,0.4867
Claude Opus,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_8,human_vs_human_declared,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,0.4667,,,,0.0546,0.54
GPT-4o,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_9,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,1.0,0.6666,0.3334,,0.08
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_declared_20260610_214443_9,human_vs_human_declared,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,0.1066,0.0
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_1,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.3667,0.6333,,0.0727
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_1,human_vs_human_silent,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.4286,0.1133
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_10,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5333,1.0,0.6,0.4,,0.4133
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_10,human_vs_human_silent,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5333,,,,-0.5431,0.5667
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_11,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,1.0,1.0,0.5333,0.4667,,0.014
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_11,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,-0.8729,0.1367
Gemini 2.5 Flash,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_12,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,0.5333,1.0,0.5333,0.4667,,0.3947
GPT-4o,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_12,human_vs_human_silent,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,0.5333,,,,-0.8729,0.5333
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_13,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,1.0,0.4333,0.5667,,0.0647
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_13,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,-0.3973,0.1253
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_14,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.3333,1.0,0.4333,0.5667,,0.5033
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_14,human_vs_human_silent,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.3333,,,,-0.3973,0.4767
Claude Sonnet,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_15,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,1.0,1.0,0.2667,0.7333,,0.0647
Claude Opus,ct_cheap_talk_results_human_vs_human_silent_20260601_132540_15,human_vs_human_silent,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,-0.8528,0.0367
